学生No,ソフトウェア工学,パターン認識,画像情報処理,電気電子回路,プログラミング言語論,機械学習論,ウェブインテリジェンス,マルチエージェントシステム,言語処理工学,音声情報処理,分散システム論,知識システム,知能ロボット制御論,メディアセンシング,生命・応用化学科の展開科目,物理工学科の展開科目,電気電子分野の展開科目,機械工学分野の展開科目,建築・デザイン分野の展開科目,環境都市分野の展開科目,経営システム分野の展開科目,所属分野
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,機械工学
43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,知能情報
44,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,電気電子
46,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
47,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,知能情報
48,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
49,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
50,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,電気電子
52,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,知能情報
53,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,知能情報
54,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,メディア情報
55,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
56,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,知能情報
57,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,ネットワーク
58,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,メディア情報
59,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,経営システム
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,材料機能
62,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,知能情報
63,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
64,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,メディア情報
65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,生命・物質化学
66,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
67,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,知能情報
68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,機械工学
69,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,知能情報
70,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,ネットワーク
71,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,知能情報
72,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,メディア情報
73,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,メディア情報
74,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,知能情報
75,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
76,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
77,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,知能情報
78,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
79,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,知能情報
80,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,知能情報
81,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,ネットワーク
82,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,メディア情報
83,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,メディア情報
84,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,ネットワーク
85,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,知能情報
86,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
